user,text,time
@Dr_Laila0,Aren't we ashamed of ourselves? And we watch without doing anything? You and your consciences Paypal: https://paypal.com/paypalme/mahmoodhamoda?locale.x=en_EG… Ggf: https://gogetfunding.com/rebuilding-hope-supporting-mohammeds-education-after-gazas-war/…,2024-04-27T18:25:22.000Z
@XmasMello,oh uea did i mention pls follow my alts thanks,2024-04-27T21:09:02.000Z
@StrayCorvid,Doing a lil sketch for the morning (it's 4 pm) #quackityfanart Missing last Nevada's quackity rn :[,2024-04-27T21:02:31.000Z
@manic_femme,"realized i haven’t yelled about the sea & stars trilogy by sd simper in awhile, and it’s almost #mermay, so: the fate of stars is an enemies to lovers fantasy romance with a sassy bi mermaid mc & a butch sword lesbian princess love interest!! (same couple for all 3 books)",2024-04-27T18:11:48.000Z
@Dr_Laila0,Aren't we ashamed of ourselves? And we watch without doing anything? You and your consciences Paypal: https://paypal.com/paypalme/mahmoodhamoda?locale.x=en_EG… Ggf: https://gogetfunding.com/rebuilding-hope-supporting-mohammeds-education-after-gazas-war/…,2024-04-27T18:25:22.000Z
@XmasMello,oh uea did i mention pls follow my alts thanks,2024-04-27T21:09:02.000Z
@StrayCorvid,Doing a lil sketch for the morning (it's 4 pm) #quackityfanart Missing last Nevada's quackity rn :[,2024-04-27T21:02:31.000Z
@manic_femme,"realized i haven’t yelled about the sea & stars trilogy by sd simper in awhile, and it’s almost #mermay, so: the fate of stars is an enemies to lovers fantasy romance with a sassy bi mermaid mc & a butch sword lesbian princess love interest!! (same couple for all 3 books)",2024-04-27T18:11:48.000Z
@Dr_Laila0,Aren't we ashamed of ourselves? And we watch without doing anything? You and your consciences Paypal: https://paypal.com/paypalme/mahmoodhamoda?locale.x=en_EG… Ggf: https://gogetfunding.com/rebuilding-hope-supporting-mohammeds-education-after-gazas-war/…,2024-04-27T18:25:22.000Z
@XmasMello,oh uea did i mention pls follow my alts thanks,2024-04-27T21:09:02.000Z
@StrayCorvid,Doing a lil sketch for the morning (it's 4 pm) #quackityfanart Missing last Nevada's quackity rn :[,2024-04-27T21:02:31.000Z
@manic_femme,"realized i haven’t yelled about the sea & stars trilogy by sd simper in awhile, and it’s almost #mermay, so: the fate of stars is an enemies to lovers fantasy romance with a sassy bi mermaid mc & a butch sword lesbian princess love interest!! (same couple for all 3 books)",2024-04-27T18:11:48.000Z
@Dr_Laila0,Aren't we ashamed of ourselves? And we watch without doing anything? You and your consciences Paypal: https://paypal.com/paypalme/mahmoodhamoda?locale.x=en_EG… Ggf: https://gogetfunding.com/rebuilding-hope-supporting-mohammeds-education-after-gazas-war/…,2024-04-27T18:25:22.000Z
@XmasMello,oh uea did i mention pls follow my alts thanks,2024-04-27T21:09:02.000Z
@StrayCorvid,Doing a lil sketch for the morning (it's 4 pm) #quackityfanart Missing last Nevada's quackity rn :[,2024-04-27T21:02:31.000Z
@manic_femme,"realized i haven’t yelled about the sea & stars trilogy by sd simper in awhile, and it’s almost #mermay, so: the fate of stars is an enemies to lovers fantasy romance with a sassy bi mermaid mc & a butch sword lesbian princess love interest!! (same couple for all 3 books)",2024-04-27T18:11:48.000Z
@Dr_Laila0,Aren't we ashamed of ourselves? And we watch without doing anything? You and your consciences Paypal: https://paypal.com/paypalme/mahmoodhamoda?locale.x=en_EG… Ggf: https://gogetfunding.com/rebuilding-hope-supporting-mohammeds-education-after-gazas-war/…,2024-04-27T18:25:22.000Z
@XmasMello,oh uea did i mention pls follow my alts thanks,2024-04-27T21:09:02.000Z
@StrayCorvid,Doing a lil sketch for the morning (it's 4 pm) #quackityfanart Missing last Nevada's quackity rn :[,2024-04-27T21:02:31.000Z
@manic_femme,"realized i haven’t yelled about the sea & stars trilogy by sd simper in awhile, and it’s almost #mermay, so: the fate of stars is an enemies to lovers fantasy romance with a sassy bi mermaid mc & a butch sword lesbian princess love interest!! (same couple for all 3 books)",2024-04-27T18:11:48.000Z
@Dr_Laila0,Aren't we ashamed of ourselves? And we watch without doing anything? You and your consciences Paypal: https://paypal.com/paypalme/mahmoodhamoda?locale.x=en_EG… Ggf: https://gogetfunding.com/rebuilding-hope-supporting-mohammeds-education-after-gazas-war/…,2024-04-27T18:25:22.000Z
@XmasMello,oh uea did i mention pls follow my alts thanks,2024-04-27T21:09:02.000Z
@StrayCorvid,Doing a lil sketch for the morning (it's 4 pm) #quackityfanart Missing last Nevada's quackity rn :[,2024-04-27T21:02:31.000Z
@manic_femme,"realized i haven’t yelled about the sea & stars trilogy by sd simper in awhile, and it’s almost #mermay, so: the fate of stars is an enemies to lovers fantasy romance with a sassy bi mermaid mc & a butch sword lesbian princess love interest!! (same couple for all 3 books)",2024-04-27T18:11:48.000Z
